"INSTALACIONES AUTORIZADAS PARA EL ALMACENAMIENTO, TRATAMIENTO, APROVECHAMIENTO, Y/O DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y/O DE APARATOS ELÉCTRICOS Y ELECTRÓNICOS (RAEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Información registrada por las Autoridades Ambientales y consolidada por el IDEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTA: La presente consulta corresponde al estado de los gestores reportados por la Autoridad ambiental a la fecha de 02/09/2025, 4:26:54 pm Si requiere mayor información, por favor comuníquese con la Autoridad ambiental respectiva de la jurisdicción.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Registros : 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN SEDES GESTORAS,,,,,,,,,,,,,,INFORMACIÓN CONTACTO SEDES GESTORAS,,,RESPEL: AUTORIZADO PARA,,,,,,,RAEE: AUTORIZADO PARA,,,,,,,AUTORIZACIÓN AMBIENTAL,,,,
Nro.,Departamento,Municipio,Autoridad,NIT o Número de Identificación,Empresa,Nombre Establecimiento,Estado,Desde,Dirección,Teléfono,Latitud,Longitud,Email Representante,Nombre(s) y Apellido(s),Teléfono,Email,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Acto Administrativo Nro.,Fecha Otorgamiento,Vigencia,Tiene adjunto soporte,Nro. de archivos
1,ANTIOQUIA,MEDELLIN,AMVA,900407786,APROVECHAMIENTOS QUIMICOS S.A.S,AQUIM S.A.S,Activo,10/04/2013,CARRERA 58 #43 sur 83 Int. 109,3080803 -,'6.244203','-75.58121189999997',aquimsas@gmail.com,JAMES ALEXIS CHAVARRIAGA MONTOYA,3080803 -,aquimsas@gmail.com,"Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::",NO,NO,"Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::",R2-Recuperación o regeneración de disolventes (ej. destilación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,509,10/04/2013,,SI,1
2,ANTIOQUIA,MEDELLIN,AMVA,900853515,C. I. METALEXPORT S.A.S.,C.I. METALEXPORT S.A.S,Activo,27/05/2015,Calle 80 # 65 127,6051253 -,'6.27678679966159','-75.57436955161394',gestion@metalexports.com.co,SALVADOR MONTES,6051253 -,gestion@metalexports.com.co,"Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::",NO,NO,NO,NO,NO,NO,1.3-Enseres mayores de hogar::1.6-Enseres menores de hogar::2.1-Antenas para Telecomunicaciones::2.4-Computadores y equipos para tratamiento de datos::2.6-Electrónica de consumo::2.9-Equipos de telecomunicaciones::,NO,NO,NO,NO,NO,NO,2430,23/11/2020,,SI,1
3,ANTIOQUIA,MEDELLIN,AMVA,900699558,Comercializadora de metales LH SAS,Comercializadora de metales LH SAS,Activo,11/07/2022,Calle 57 # 54 - 81,3217464139 -,'6.256667044225301','-75.56987643241884',gestionambientallh@gmail.com,OLGA PALACIO,3016679424 -,gestionambientallh@gmail.com,"A1160-Acumuladores de plomo de desecho, enteros o triturados.::",NO,NO,NO,NO,NO,NO,"2.2-Circuitos Electrónicos::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.11-Pilas y acumuladores::1.5-Enseres menores de cocina::2.1-Antenas para Telecomunicaciones::",NO,NO,NO,NO,NO,NO,22410,11/07/2022,,SI,1
4,ANTIOQUIA,MEDELLIN,AMVA,70116523,LUIS OMAR GONZALEZ PEREZ,DEPOSITO EXCEDENTES ELECTRICOS OMAR GONZALEZ,Activo,24/11/2005,CALLE 57 # 53-39,2933398 -,'6.244203','-75.58121189999997',excedenteselectricos1@hotmail.com,LUIS OMAR GONZALEZ PEREZ,2933398 -,excedenteselectricos1@hotmail.com,"Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::",NO,NO,NO,NO,NO,NO,3.11-Pilas y acumuladores::3.1-Cables y conductores::3.10-Piezas eléctricas::,NO,NO,NO,NO,NO,NO,1169,24/11/2005,,SI,1
5,ANTIOQUIA,MEDELLIN,AMVA,1037578901,EXCEDENTES INDUSTRIALES CABLES Y CABLES,EXCEDENTES INDUSTRIALES CABLES Y CABLES,Activo,08/05/2008,CALLE 57 # 53 - 48,2519562 -,'6.244203','-75.58121189999997',arleygonzalezagudelo@hotmail.com,OMAR ARLEY GONZALEZ AGUDELO,2519562 -,arleygonzalezagudel@hotmail.com,"Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::",NO,NO,NO,NO,NO,NO,"2.2-Circuitos Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.6-Electrónica de consumo::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::",NO,NO,"2.2-Circuitos Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.6-Electrónica de consumo::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::",Otras actividades de recuperación o reciclado::,NO,NO,745,08/05/2008,,SI,3
6,ANTIOQUIA,MEDELLIN,AMVA,71754154,COMPRAVENTA DE EXCEDENTES INDUSTRIALES SUAREZ,EXCEDENTES INDUSTRIALES SUAREZ,Activo,19/03/2015,Calle 57 # 54 - 131,3154128754 -,'6.256782840476807','-75.56974295527654',excedentessuarez@hotmail.com,ARMANDO ALBERTO SUAREZ GONZALEZ,3154128754 -,excedentessuarez@hotmail.com,NO,NO,NO,NO,NO,NO,NO,2.2-Circuitos Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.6-Electrónica de consumo::2.9-Equipos de telecomunicaciones::,NO,NO,NO,NO,NO,NO,21239,28/06/2021,,SI,1
7,ANTIOQUIA,MEDELLIN,AMVA,900916121,INDUSTRIA AMBIENTAL S.A.S.,INDUSTRIA AMBIENTAL S.A.S,Activo,21/11/2018,Calle 14 N 52 A 198,3619286 -,'6.244203','-75.58121189999997',dguzman@atica.com,MARGARITA CADAVID ESCOBAR,3619286 -,fpinto@atica.co,"Y29.2-Desechos que contienen mercurio o compuestos de mercurio (ej. Lámparas fluorescentes compactas o lineales, lámparas de vapor de mercurio, amalgama dental, termómetros de mercurio, manómetros no electrónicos).::Y35-Desechos que tengan como constituyentes: Soluciones básicas o bases en forma sólida.::Y36-Desechos que tengan como constituyente Asbesto (polvo y fibras).::A1160-Acumuladores de plomo de desecho, enteros o triturados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y12-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices.::",NO,NO,NO,NO,NO,NO,1.1-Cocinas y hornos::1.3-Enseres mayores de hogar::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::2.4-Computadores y equipos para tratamiento de datos::2.6-Electrónica de consumo::2.9-Equipos de telecomunicaciones::,NO,NO,NO,NO,NO,NO,3169,21/11/2018,,SI,1
8,ANTIOQUIA,MEDELLIN,AMVA,811024067,LITO S.A.S.,LITO S.A.S,Activo,21/07/2011,CRR 51 # 32 - 102 Zona Industrial San Diego,2323144 - 203,'6.244203','-75.58121189999997',lito@lito.com,CARLOS MARIO BONILLA PENALOZA,2323144 -,ejecutivo.medellín@lito.com.co,NO,NO,NO,NO,NO,NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::",NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::",Otras actividades de recuperación o reciclado::,NO,NO,1031,21/07/2011,,SI,1
9,ANTIOQUIA,MEDELLIN,AMVA,70080467,LUIS CARLOS ESCOBAR MUNOZ,LUBRIRACING,Activo,26/01/2006,CALLE 27 A N?52-58,3155069459 -,'6.226734058288288','-75.57818591594696',luiscarlosescobar26@gmail.com,LUIS CARLOS ESCOBAR MU?OZ,3155069459 -,luiscarlosescobar26@gmail.com,"Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1102,04/11/2005,31/12/2062,SI,1
10,ANTIOQUIA,BARBOSA,CORANTIOQUIA,901085005,RA HERMANOS GROUP S.A.S,RA HERMANOS GROUP S.A.S Sede Barbosa,Activo,12/10/2022,"Vereda La Montanita Sector El Ferrocarril (Parte baja), Ruta Nacional 62 # 05 A, altura del PR 10+600",3113195333 -,'6.453559','-75.315287',rahermanosgroup@gmail.com,Sara Perez Monsalve,3015255016 -,adm.rahermanosgroup@gmail.com,"A1160-Acumuladores de plomo de desecho, enteros o triturados.::",NO,NO,"A1160-Acumuladores de plomo de desecho, enteros o triturados.::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::","R4-Reciclado o recuperación de metales y compuestos metálicos (ej. refinación, pirometalurgia, hidrometalurgia).::",NO,NO,NO,NO,NO,NO,NO,NO,NO,8698,16/12/2021,16/12/2051,SI,2
